codigo_montante_newave;nome_montante_newave;id_montante_cobre;nome_montante_cobre;codigo_jusante_newave;nome_jusante_newave;id_jusante_cobre_esperado;id_jusante_cobre_encontrado;nome_jusante_cobre_encontrado;codigo_canal_desvio_newave;nome_canal_desvio_newave;id_canal_desvio_cobre_esperado;id_canal_desvio_cobre_encontrado;nome_canal_desvio_cobre_encontrado;resultado_cascata;resultado_canal_desvio;resultado;detalhe
4;FUNIL-GRANDE;2;FUNIL-GRANDE;6;FURNAS;3;3;FURNAS;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação FUNIL-GRANDE → FURNAS coincide nos dois modelos.
20;BATALHA;15;BATALHA;21;SERRA FACAO;16;16;SERRA FACAO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação BATALHA → SERRA FACAO coincide nos dois modelos.
21;SERRA FACAO;16;SERRA FACAO;24;EMBORCACAO;17;17;EMBORCACAO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SERRA FACAO → EMBORCACAO coincide nos dois modelos.
27;CAPIM BRANC1;20;CAPIM BRANC1;28;CAPIM BRANC2;21;21;CAPIM BRANC2;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação CAPIM BRANC1 → CAPIM BRANC2 coincide nos dois modelos.
28;CAPIM BRANC2;21;CAPIM BRANC2;31;ITUMBIARA;24;24;ITUMBIARA;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação CAPIM BRANC2 → ITUMBIARA coincide nos dois modelos.
29;CORUMBA IV;22;CORUMBA IV;203;CORUMBA III;119;119;CORUMBA III;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação CORUMBA IV → CORUMBA III coincide nos dois modelos.
66;ITAIPU;47;ITAIPU;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
131;NILO PECANHA;92;NILO PECANHA;133;P. PASSOS;94;94;P. PASSOS;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação NILO PECANHA → P. PASSOS coincide nos dois modelos.
132;FONTES;93;FONTES;133;P. PASSOS;94;94;P. PASSOS;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação FONTES → P. PASSOS coincide nos dois modelos.
141;BAGUARI;98;BAGUARI;143;AIMORES;99;99;AIMORES;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação BAGUARI → AIMORES coincide nos dois modelos.
153;SAO DOMINGOS;103;SAO DOMINGOS;46;P. PRIMAVERA;35;35;P. PRIMAVERA;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SAO DOMINGOS → P. PRIMAVERA coincide nos dois modelos.
155;RETIRO BAIXO;105;RETIRO BAIXO;156;TRES MARIAS;106;106;TRES MARIAS;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação RETIRO BAIXO → TRES MARIAS coincide nos dois modelos.
156;TRES MARIAS;106;TRES MARIAS;169;SOBRADINHO;108;108;SOBRADINHO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação TRES MARIAS → SOBRADINHO coincide nos dois modelos.
162;QUEIMADO;107;QUEIMADO;169;SOBRADINHO;108;108;SOBRADINHO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação QUEIMADO → SOBRADINHO coincide nos dois modelos.
195;JAURU;117;JAURU;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
196;GUAPORE;118;GUAPORE;285;JIRAU;148;148;JIRAU;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação GUAPORE → JIRAU coincide nos dois modelos.
203;CORUMBA III;119;CORUMBA III;30;CORUMBA I;23;23;CORUMBA I;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação CORUMBA III → CORUMBA I coincide nos dois modelos.
227;SINOP;124;SINOP;228;COLIDER;125;125;COLIDER;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SINOP → COLIDER coincide nos dois modelos.
228;COLIDER;125;COLIDER;229;TELES PIRES;126;126;TELES PIRES;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação COLIDER → TELES PIRES coincide nos dois modelos.
229;TELES PIRES;126;TELES PIRES;230;SAO MANOEL;127;127;SAO MANOEL;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação TELES PIRES → SAO MANOEL coincide nos dois modelos.
230;SAO MANOEL;127;SAO MANOEL;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
241;SLT VERDINHO;128;SLT VERDINHO;34;I. SOLTEIRA;27;27;I. SOLTEIRA;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SLT VERDINHO → I. SOLTEIRA coincide nos dois modelos.
